sample	collection_date	region	collection_year	country	host	other
230502	2023-09-20	22	2023	France	swine	
230527	2023-10-03	22	2023	France	swine	
230529	2023-09-26	22	2023	France	swine	
230537	2023-10-05	56	2023	France	swine	
230538	2023-10-02	22	2023	France	swine	
230563	2023-10-09	29	2023	France	swine	
230564	2023-10-10	35	2023	France	swine	
230570	2023-10-18	29	2023	France	swine	
230571	2023-10-16	22	2023	France	swine	
230574	2023-10-25	22	2023	France	swine	
230576	2023-10-27	35	2023	France	swine	
230577	2023-11-07	22	2023	France	swine	
230582	2023-11-06	56	2023	France	swine	
230588	2023-11-10	12	2023	France	swine	
230596	2023-11-16	22	2023	France	swine	
230597	2023-11-16	29	2023	France	swine	
230598	2023-11-21	56	2023	France	swine	
230600	2023-07-07	59	2023	France	swine	
230601	2023-07-17	59	2023	France	swine	
230602	2023-07-24	51	2023	France	swine	
230603	2023-08-03	76	2023	France	swine	
230604	2023-08-10	59	2023	France	swine	
230605	2023-09-12	35	2023	France	swine	
230606	2023-09-15	29	2023	France	swine	
230607	2023-09-29	22	2023	France	swine	
230608	2023-09-29	29	2023	France	swine	
230609	2023-09-06	50	2023	France	swine	
230617	2023-11-24	22	2023	France	swine	
230623	2023-11-21	24	2023	France	swine	
230624	2023-11-23	29	2023	France	swine	
230629	2023-12-01	56	2023	France	swine	
230632	2023-11-22	65	2023	France	swine	
230633	2023-11-30	56	2023	France	swine	
230634	2023-11-30	56	2023	France	swine	
230638	2023-12-01	56	2023	France	swine	
230639	2023-12-01	56	2023	France	swine	
230640	2023-12-06	56	2023	France	swine	
230667	2023-12-27	56	2023	France	swine	
240001	2023-12-18	72	2023	France	swine	
240002	2023-12-21	56	2023	France	swine	
240003	2023-12-26	29	2023	France	swine	
240013	2024-01-04	29	2024	France	swine	
240023	2024-01-05	35	2024	France	swine	
240024	2024-01-08	50	2024	France	swine	
240025	2024-01-16	56	2024	France	swine	
240029	2024-01-17	56	2024	France	swine	
240032	2024-01-17	56	2024	France	swine	
240037	2024-01-15	22	2024	France	swine	
240038	2024-01-16	56	2024	France	swine	
240040	2024-01-16	35	2024	France	swine	
240047	2024-01-26	35	2024	France	swine	
240059	2024-01-30	35	2024	France	swine	
240060	2024-01-30	35	2024	France	swine	
240065	2024-01-22	56	2024	France	swine	
240066	2024-01-26	53	2024	France	swine	
240067	2024-01-22	29	2024	France	swine	
240068	2024-01-25	35	2024	France	swine	
240069	2024-01-23	05	2024	France	swine	
240071	2024-01-29	35	2024	France	swine	
240082	2024-02-08	35	2024	France	swine	
240083	2024-02-08	35	2024	France	swine	
240093	2024-02-06	22	2024	France	swine	
240094	2024-01-25	56	2024	France	swine	
240106	2024-01-15	56	2024	France	swine	
240108	2024-01-30	37	2024	France	swine	
240113	2024-02-13	22	2024	France	swine	
240122	2024-02-23	50	2024	France	swine	
240123	2024-02-19	33	2024	France	swine	
240124	2024-02-19	33	2024	France	swine	
240125	2024-02-19	33	2024	France	swine	
240154	2024-03-04	22	2024	France	swine	
240156	2024-03-04	22	2024	France	swine	
240159	2024-03-05	35	2024	France	swine	
240170	2024-03-07	35	2024	France	swine	
240185	2024-03-05	29	2024	France	swine	
240186	2023-10-23	76	2023	France	swine	
240187	2023-11-10	22	2023	France	swine	
240188	2023-12-18	22	2023	France	swine	
240191	2024-03-05	59	2024	France	swine	
240202	2024-03-15	22	2024	France	swine	
240208	2024-01-29	37	2024	France	swine	
240212	2024-03-13	50	2024	France	swine	
240215	2024-03-13	22	2024	France	swine	
240216	2024-03-12	22	2024	France	swine	
240217	2024-03-15	50	2024	France	swine	
240235	2024-03-15	29	2024	France	swine	
240236	2024-03-18	22	2024	France	swine	
240245	2024-03-26	56	2024	France	swine	
240246	2024-03-29	35	2024	France	swine	
240247	2024-01-24	27	2024	France	swine	
240248	2024-01-25	28	2024	France	swine	
240258	2024-03-14	59	2024	France	swine	
240277	2024-04-02	29	2024	France	swine	
240278	2024-04-04	35	2024	France	swine	
240288	2024-04-05	22	2024	France	swine	
240289	2024-04-05	64	2024	France	swine	
240299	2024-04-24	22	2024	France	swine	
240310	2024-04-15	49	2024	France	swine	
240311	2024-04-25	53	2024	France	swine	
240312	2024-04-17	56	2024	France	swine	
240313	2024-04-19	35	2024	France	swine	
240315	2024-05-02	35	2024	France	swine	
240323	2024-05-06	29	2024	France	swine	
240324	2024-05-04	56	2024	France	swine	
240325	2024-05-15	22	2024	France	swine	
240335	2024-05-10	56	2024	France	swine	
240352	2024-06-10	56	2024	France	swine	
240355	2024-06-07	50	2024	France	swine	
240356	2024-05-13	10	2024	France	swine	
240373	2024-06-17	56	2024	France	swine	
240374	2024-06-25	01	2024	France	swine	
240375	2024-06-20	35	2024	France	swine	
240377	2024-06-21	59	2024	France	swine	
240380	2024-07-05	35	2024	France	swine	
240381	2024-04-18	22	2024	France	swine	
240385	2024-07-08	29	2024	France	swine	
240389	2024-07-09	50	2024	France	swine	
240395	2024-07-15	59	2024	France	swine	
240397	2024-07-15	29	2024	France	swine	
240398	2024-07-17	44	2024	France	swine	
240399	2024-08-01	56	2024	France	swine	
240408	2024-08-14	35	2024	France	swine	
240410	2024-08-23	29	2024	France	swine	
240411	2024-08-20	56	2024	France	swine	
240429	2024-08-27	22	2024	France	swine	
240432	2024-08-30	69	2024	France	swine	
240443	2024-09-02	35	2024	France	swine	
240444	2024-09-04	22	2024	France	swine	
240445	2024-09-03	29	2024	France	swine	
240465	2024-06-28	22	2024	France	swine	
240478	2024-09-24	29	2024	France	swine	
240479	2024-09-25	22	2024	France	swine	
240484	2024-10-01	22	2024	France	swine	
240500	2024-10-16	35	2024	France	swine	
240501	2024-10-16	56	2024	France	swine	
240512	2024-10-25	53	2024	France	swine	
240516	2024-10-25	56	2024	France	swine	
240517	2024-10-25	22	2024	France	swine	
240521	2024-11-07	56	2024	France	swine	
240532	2024-11-14	29	2024	France	swine	
240552	2024-11-25	29	2024	France	swine	
240553	2024-11-22	29	2024	France	swine	
240554	2024-11-27	22	2024	France	swine	
240564	2024-12-05	22	2024	France	swine	
240571	2024-12-10	22	2024	France	swine	
240572	2024-10-09	51	2024	France	swine	
240573	2024-09-30	29	2024	France	swine	
240561	2024-11-04	35	2024	France	swine	
240581	2024-12-19	22	2024	France	swine	
250004	2024-12-17	53	2024	France	swine	
250005	2024-12-26	72	2024	France	swine	
250007	2024-12-30	22	2024	France	swine	
250012	2024-12-31	64	2024	France	swine	
250013	2025-01-08	44	2025	France	swine	
250026	2025-01-10	22	2025	France	swine	
250027	2025-01-16	29	2025	France	swine	
250030	2025-01-20	35	2025	France	swine	
250041	2025-01-28	56	2025	France	swine	
250042	2025-01-29	22	2025	France	swine	
250043	2025-01-29	22	2025	France	swine	
250045	2025-01-30	56	2025	France	swine	
250047	2025-01-27	62	2025	France	swine	
250055	2025-02-06	50	2025	France	swine	
250056	2025-02-06	50	2025	France	swine	
250057	2025-02-03	29	2025	France	swine	
250058	2025-02-04	22	2025	France	swine	
250046	2024-11-26	35	2024	France	swine	
250033	2024-12-17	59	2024	France	swine	
250066	2025-02-11	22	2025	France	swine	
250099	2025-01-23	62	2025	France	swine	
250095	2025-02-21	29	2025	France	swine	
250111	2025-03-12	59	2025	France	swine	
250116	2025-03-18	22	2025	France	swine	
